S.No,API Endpoint,HTTP Method,Description,Input Parameters,Input Example (JSON),Output Format,Output Example (JSON)
1,/api/health,GET,"Health check endpoint. Returns the current status of the Nokia Schedular API service.",None,None,"JSON object with status and service name","{""status"": ""ok"", ""service"": ""nokia-schedular-api""}"
2,/api/v1/schedular/gantt-charts,GET,"List all sites with gantt chart data. Supports filtering by region, market, site_id, vendor, area, user_id, status with pagination. Optionally apply vendor capacity and pace constraints. Status filter matches both overall_status and exclude_reason.","Query Params: region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), limit (int, optional), offset (int, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional — ON TRACK, IN PROGRESS, CRITICAL, Blocked, Excluded - Crew Shortage, Excluded - Pace Constraint)","/api/v1/schedular/gantt-charts?region=Northeast&market=NYC&limit=10&offset=0&consider_vendor_capacity=true&pace_constraint_flag=true","JSON object with count, sites array, and pagination info","{""count"": 1, ""sites"": [{""site_id"": ""SITE001"", ""project_id"": ""PRJ-101"", ""project_name"": ""Tower Build"", ""market"": ""NYC"", ""region"": ""Northeast"", ""construction_start_4225"": ""2025-03-01"", ""gc_assignment"": ""Vendor A"", ""milestones"": [{""key"": ""1310"", ""name"": ""Site Acquisition"", ""sort_order"": 1, ""path"": ""col_name"", ""expected_days"": 30, ""dependency_type"": ""finish_to_start"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""], ""planned_start"": ""2025-03-01"", ""planned_finish"": ""2025-03-31"", ""actual_finish"": ""2025-03-28"", ""actual_value"": ""Complete"", ""days_since"": 5, ""days_remaining"": 0, ""delay_days"": 0, ""status"": ""COMPLETED"", ""status_color"": ""green""}], ""overall_status"": ""ON TRACK"", ""overall_progress"": 45.5, ""critical_path_delay"": 0, ""note"": ""Ready for schedule"", ""exclude_reason"": null, ""delay_comments"": null, ""delay_code"": null}], ""pagination"": {""limit"": 10, ""offset"": 0, ""total_count"": 1}}"
3,/api/v1/schedular/gantt-charts/dashboard,GET,"Dashboard summary for a user. Returns aggregated site status counts and on-track percentage based on user's saved filter preferences.","Query Params: user_id (string, required)","/api/v1/schedular/gantt-charts/dashboard?user_id=user123","JSON object with dashboard summary statistics","{""dashboard_status"": ""ON TRACK"", ""on_track_pct"": 78.5, ""total_sites"": 200, ""in_progress_sites"": 120, ""critical_sites"": 15, ""on_track_sites"": 156, ""blocked_sites"": 9, ""excluded_crew_shortage_sites"": 3, ""excluded_pace_constraint_sites"": 2, ""pace_constraint_max_sites"": 10}"
4,/api/v1/schedular/filters/regions,GET,"Get all distinct region values from the database. Used to populate region filter dropdowns.",None,None,"JSON array of region strings","[""Northeast"", ""Southeast"", ""Midwest"", ""West""]"
5,/api/v1/schedular/filters/markets,GET,"Get all distinct market values from the database. Used to populate market filter dropdowns.",None,None,"JSON array of market strings","[""NYC"", ""Chicago"", ""LA"", ""Dallas""]"
6,/api/v1/schedular/filters/areas,GET,"Get all distinct area values (m_area column) from the database. Used to populate area filter dropdowns.",None,None,"JSON array of area strings","[""Area 1"", ""Area 2"", ""Area 3""]"
7,/api/v1/schedular/filters/sites,GET,"Get all distinct site ID values from the database. Used to populate site filter dropdowns.",None,None,"JSON array of site ID strings","[""SITE001"", ""SITE002"", ""SITE003""]"
8,/api/v1/schedular/filters/vendors,GET,"Get all distinct vendor values from the database. Used to populate vendor filter dropdowns.",None,None,"JSON array of vendor strings","[""Vendor A"", ""Vendor B"", ""Vendor C""]"
9,/api/v1/schedular/prerequisites,GET,"List all prerequisite/milestone definitions ordered by sort_order. Each prerequisite is enriched with its dependency graph (preceding and following milestones).",None,None,"JSON array of MilestoneDefinitionOut objects","[{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""sort_order"": 1, ""expected_days"": 30, ""history_expected_days"": null, ""start_gap_days"": 1, ""sla_type"": ""default"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""]}]"
10,/api/v1/schedular/prerequisites/{prerequisite_id},GET,"Get a single prerequisite/milestone definition by its ID. Returns the prerequisite enriched with dependency information.","Path Params: prerequisite_id (int, required)","/api/v1/schedular/prerequisites/1","JSON object of MilestoneDefinitionOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""sort_order"": 1, ""expected_days"": 30, ""history_expected_days"": null, ""start_gap_days"": 1, ""sla_type"": ""default"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""]}"
11,/api/v1/schedular/prerequisites/flowchart,GET,"Get a Mermaid-format flowchart string representing the prerequisite dependency graph. Returns plain text.",None,None,"Plain text (Mermaid diagram syntax)","graph TD\n  1310[Site Acquisition] --> 1320[Design]\n  1320 --> 1330[Construction]"
